Day,List 1,List 2,List 3,List 4,List 5,List 6,List 7,List 8,List 9,List 10
157,Luke 24,Deut 4,Rom 1,James 5,Job 33,Ps 7,Prov 2,1 Chron 6,Ezekiel 34,Acts 17
158,John 1,Deut 5,Rom 2,1 Peter 1,Job 34,Ps 8,Prov 3,1 Chron 7,Ezekiel 35,Acts 18
159,John 2,Deut 6,Rom 3,1 Peter 2,Job 35,Ps 9,Prov 4,1 Chron 8,Ezekiel 36,Acts 19
160,John 3,Deut 7,Rom 4,1 Peter 3,Job 36,Ps 10,Prov 5,1 Chron 9,Ezekiel 37,Acts 20
161,John 4,Deut 8,Rom 5,1 Peter 4,Job 37,Ps 11,Prov 6,1 Chron 10,Ezekiel 38,Acts 21
162,John 5,Deut 9,Rom 6,1 Peter 5,Job 38,Ps 12,Prov 7,1 Chron 11,Ezekiel 39,Acts 22
163,John 6,Deut 10,Rom 7,2 Peter 1,Job 39,Ps 13,Prov 8,1 Chron 12,Ezekiel 40,Acts 23
164,John 7,Deut 11,Rom 8,2 Peter 2,Job 40,Ps 14,Prov 9,1 Chron 13,Ezekiel 41,Acts 24
165,John 8,Deut 12,Rom 9,2 Peter 3,Job 41,Ps 15,Prov 10,1 Chron 14,Ezekiel 42,Acts 25
166,John 9,Deut 13,Rom 10,1 John 1,Job 42,Ps 16,Prov 11,1 Chron 15,Ezekiel 43,Acts 26
167,John 10,Deut 14,Rom 11,1 John 2,Eccl 1,Ps 17,Prov 12,1 Chron 16,Ezekiel 44,Acts 27
168,John 11,Deut 15,Rom 12,1 John 3,Eccl 2,Ps 18,Prov 13,1 Chron 17,Ezekiel 45,Acts 28
169,John 12,Deut 16,Rom 13,1 John 4,Eccl 3,Ps 19,Prov 14,1 Chron 18,Ezekiel 46,Acts 1
170,John 13,Deut 17,Rom 14,1 John 5,Eccl 4,Ps 20,Prov 15,1 Chron 19,Ezekiel 47,Acts 2
171,John 14,Deut 18,Rom 15,2 John 1,Eccl 5,Ps 21,Prov 16,1 Chron 20,Ezekiel 48,Acts 3
172,John 15,Deut 19,Rom 16,3 John 1,Eccl 6,Ps 22,Prov 17,1 Chron 21,Daniel 1,Acts 4
173,John 16,Deut 20,1 Cor 1,Jude 1,Eccl 7,Ps 23,Prov 18,1 Chron 22,Daniel 2,Acts 5
